Price,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMD,AMZN,INTC,MSFT,NVDA,TSLA,AAPL,AMD,AMZN,INTC,MSFT,NVDA,TSLA,AAPL,AMD,AMZN,INTC,MSFT,NVDA,TSLA,AAPL,AMD,AMZN,INTC,MSFT,NVDA,TSLA,AAPL,AMD,AMZN,INTC,MSFT,NVDA,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-21,244.71319580078125,110.83999633789062,216.5800018310547,24.8700008392334,406.03326416015625,134.4007110595703,337.79998779296875,247.84249441981407,115.76000213623047,223.30999755859375,26.290000915527344,415.8207899827264,141.42919381606555,354.9800109863281,244.38431857946645,110.43000030517578,214.74000549316406,24.84000015258789,405.71499358869687,134.00080428998024,334.4200134277344,245.11182656230832,114.8499984741211,223.27999877929688,25.959999084472656,415.11458446579724,140.00948969645043,353.44000244140625,53197400,41353700,55323900,111630900,27524800,228217600,74058600
2025-02-24,246.25791931152344,108.11000061035156,212.7100067138672,24.270000457763672,401.8457336425781,130.2516326904297,330.5299987792969,248.01191597096326,111.5999984741211,217.72000122070312,24.799999237060547,407.1870941067446,138.55982089892026,342.3999938964844,243.58704451830639,107.9800033569336,212.4199981689453,23.6200008392334,397.1906962904959,130.05167928786804,324.70001220703125,244.0953010258401,111.48999786376953,217.4499969482422,24.549999237060547,406.3316944915949,136.53026411475935,338.1400146484375,51326400,29072200,42387600,91358100,26443700,251381100,76052300
2025-02-25,246.1981201171875,103.95999908447266,212.8000030517578,22.989999771118164,395.7782287597656,126.60242462158203,302.79998779296875,249.14803959700342,108.63999938964844,213.33999633789062,24.280000686645508,399.7768119064437,130.17164697857655,328.8900146484375,244.0753891604379,103.62000274658203,204.16000366210938,22.770000457763672,394.5846458623518,124.41290666278033,297.25,247.15485528022737,107.88999938964844,211.6300048828125,24.209999084472656,398.9611771958944,129.9516936613149,327.0199890136719,48013300,39169200,58958000,88886500,29387400,271428700,134228800
2025-02-26,239.54087829589844,104.73999786376953,214.35000610351562,23.520000457763672,397.5984802246094,131.2514190673828,290.79998779296875,244.14512894194456,105.80000305175781,218.16000366210938,23.81999969482422,401.4478388786511,133.7008826502409,309.0,238.31507426807877,103.98999786376953,213.08999633789062,23.209999084472656,392.1476909921423,128.46203316398234,288.0400085449219,243.49735015822236,104.94999694824219,214.94000244140625,23.25,395.8876507833858,129.96170661334043,303.7099914550781,44433600,29178200,39120600,67449300,19619000,322553800,100118300
2025-02-27,236.49131774902344,99.51000213623047,208.74000549316406,23.09000015258789,390.4368896484375,120.12384033203125,281.95001220703125,241.6337368385667,105.76000213623047,219.97000122070312,24.399999618530273,403.5764407452776,134.98059773119874,297.2300109863281,236.25213016109495,99.5,208.3699951171875,23.06999969482422,390.0788238664077,119.98387142553824,280.8800048828125,238.5941277716784,105.08000183105469,218.35000610351562,23.700000762939453,399.13027515598884,134.97060540054449,291.1600036621094,41153600,47263700,40548600,97871900,21127400,443175800,101748200
2025-02-28,241.01583862304688,99.86000061035156,212.27999877929688,23.729999542236328,394.87310791015625,124.89279174804688,292.9800109863281,241.26498665715278,101.80000305175781,212.6199951171875,24.440000534057617,395.50970978817173,125.06275289296238,293.8800048828125,229.41550676334808,98.69000244140625,206.99000549316406,22.639999389648438,384.50868780557136,116.37465068149442,273.6000061035156,236.14250368420718,99.55999755859375,208.64999389648438,23.020000457763672,390.5662102627109,117.99429297871988,279.5,56833400,45194600,51771700,104133800,32845700,389091100,115697000
2025-03-03,237.21881103515625,98.2300033569336,205.02000427246094,22.739999771118164,386.4184265136719,114.03515625,284.6499938964844,243.1983635012748,102.33999633789062,214.00999450683594,25.040000915527344,396.693360360252,123.67305612882248,303.94000244140625,235.3053560708129,97.08999633789062,202.5500030517578,22.520000457763672,384.1008642400347,112.25554513947324,277.29998779296875,240.96599177281342,101.5199966430664,213.35000610351562,25.0,396.693360360252,123.48310269608358,300.3399963378906,47184000,38958000,42948400,141348700,23007700,411381400,115551400
2025-03-04,235.1259765625,100.75,203.8000030517578,21.329999923706055,386.53778076171875,115.96473693847656,272.0400085449219,239.25188262538288,103.18000030517578,206.8000030517578,22.6299991607666,390.48661254503907,119.28401358591904,284.3500061035156,233.88023638606123,95.88999938964844,197.42999267578125,20.760000228881836,378.9683745181786,110.0860202624711,261.8399963378906,236.89992456399492,96.0,200.11000061035156,22.540000915527344,381.3555708063787,110.62590357369604,270.92999267578125,53798100,54156900,60853100,152182200,29342900,398163300,126706600
2025-03-05,234.93663024902344,101.66999816894531,208.36000061035156,20.809999465942383,398.8816223144531,117.27445983886719,279.1000061035156,235.7438674276595,101.83999633789062,209.97999572753906,21.360000610351562,399.52818059067016,118.25424216283551,279.54998779296875,228.44880585950324,98.87000274658203,203.25999450683594,20.18000030517578,386.73673843465946,114.48506647308832,267.7099914550781,234.61771347352882,100.36000061035156,204.8000030517578,21.329999923706055,387.2639110911412,117.55439764571528,272.9200134277344,47227600,27855500,38610100,127219300,23433100,284337900,94042900
2025-03-06,234.5280303955078,98.8499984741211,200.6999969482422,20.75,394.7736511230469,110.5459213256836,263.45001220703125,237.04940729600818,101.08000183105469,205.77000427246094,21.1299991607666,400.00558222724027,115.32487918451908,272.6499938964844,232.3654272740836,98.2699966430664,198.3000030517578,20.0,390.5860785359009,110.1959990692751,260.0199890136719,233.64106399817908,99.05000305175781,204.39999389648438,20.260000228881836,392.1775528184261,113.50527582346177,272.05999755859375,45170400,28985000,49863800,96466400,23304600,321181900,98451600
