Price,Close,High,Low,Open,Volume
Ticker,PEP,PEP,PEP,PEP,PEP
Date,,,,,
2010-11-05,41.65473937988281,41.827551910367525,41.44992217775446,41.76994936128172,6940900
2010-11-08,41.673954010009766,41.8019629724588,41.443533971018375,41.603547615694126,5521500
2010-11-09,41.79555130004883,41.87235469731959,41.475524122814846,41.81475214936652,6301300
2010-11-10,41.763553619384766,41.853160853350495,41.360321066538994,41.629142768436175,7065800
2010-11-11,41.53953552246094,41.74435275478453,41.41152170024119,41.590741051348836,4743500
2010-11-12,41.37311553955078,41.53953104890049,41.200303002200016,41.366713628322245,4914000
2010-11-15,41.2322998046875,41.584331648341035,41.19389810655334,41.513925279610326,5533000
2010-11-16,40.989097595214844,41.60354943160178,40.85468671380793,41.1427093335043,8021500
2010-11-17,40.925086975097656,41.117102851432655,40.78427663464631,41.04029943083586,5016700
2010-11-18,41.45633316040039,41.597145949868704,40.713872383970546,40.96349328049022,6984000
2010-11-19,41.41792678833008,41.41792678833008,41.13630124107793,41.23231039429829,5511800
2010-11-22,41.41151428222656,41.50752341088632,41.07228625975891,41.449920863626744,4630100
2010-11-23,40.89308166503906,41.11709976367113,40.70106580312384,41.03389443653016,7198400
2010-11-24,41.17469787597656,41.22590339640936,40.8994743076843,41.09148768446647,5270200
2010-11-26,40.89949417114258,41.18111490384191,40.880290870847105,41.17471787310139,2386800
2010-11-29,40.96989059448242,41.05309592290566,40.59865780632633,40.80987452520388,5782100
2010-11-30,41.36671447753906,41.5139291394528,40.81626973965772,40.995486633529914,11252100
2010-12-01,42.32107162475586,42.379110090478775,41.65043388168401,41.77940551675446,9970600
2010-12-02,42.04380416870117,42.27594827714721,41.76007630708562,42.23725923232841,8829800
2010-12-03,42.024471282958984,42.321098854828705,41.93419354020594,41.96643769966117,5679100
2010-12-06,41.74074172973633,42.02446965895229,41.708497571527154,42.0180247631247,4502700
2010-12-07,41.708492279052734,41.959980937915425,41.663353415148336,41.90194736422428,5630100
2010-12-08,41.67625045776367,41.837461397841345,41.57307801439304,41.785877636039764,5431600
2010-12-09,41.734275817871094,41.77941467009389,41.45054307831869,41.77941467009389,6173400
2010-12-10,41.85036087036133,41.91484426219583,41.65045595997669,41.81166689944667,5426900
2010-12-13,42.2566032409668,42.37912510775883,41.78587013550602,41.95352594086014,9261700
2010-12-14,42.29529571533203,42.47585608305612,42.12763989638155,42.32753986808165,5751600
2010-12-15,42.06959533691406,42.224361344067106,41.97931762595792,42.153428154063526,4526400
2010-12-16,42.398475646972656,42.42426998678775,42.03736472909583,42.069603964039246,4830000
2010-12-17,42.54033279418945,42.559677314897264,42.21146118285798,42.38557170876072,7334800
2010-12-20,42.759586334228516,42.78538067390449,42.39847541829931,42.44361428279046,5549500
2010-12-21,42.17278289794922,42.888559865300266,41.99222743226922,42.798282132460265,7830800
2010-12-22,42.35332107543945,42.37911540568868,42.05024384471783,42.21145471895142,3977600
2010-12-23,42.359779357910156,42.50809063679171,42.2437073084624,42.33398502250328,3297400
2010-12-27,42.18567657470703,42.37268185094094,42.179231679496006,42.327542985627055,2358500
2010-12-28,42.09539031982422,42.256601223267026,42.03090694240036,42.0438016499786,3071200
2010-12-29,42.12763977050781,42.411367650835395,42.12763977050782,42.19857297053145,3248600
2010-12-30,41.99222183227539,42.31464366935431,41.972872389446536,42.11473878492396,3507400
2010-12-31,42.12763977050781,42.26950617055508,41.934184694122095,41.94708432309019,2977400
2011-01-03,42.398475646972656,42.61772015575008,42.30174810260785,42.50165300623305,6787300
2011-01-04,42.17921829223633,42.682195466027544,41.99221307535599,42.62415698917775,7897100
2011-01-05,42.940120697021484,43.12712587797695,42.275932765903875,42.37266026222772,10381900
2011-01-06,43.10135269165039,43.17228589576207,42.804725165259384,43.017524777594424,7648900
2011-01-07,42.81117248535156,43.08845547078422,42.72089476170064,43.08845547078422,4899100
2011-01-10,42.591922760009766,42.76602837144986,42.456501271397485,42.6435065102132,5220500
